,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
25,362273.4375,6691196.25,265.80282900000003,0.45766733200071913,0.6159195579911958,0.5376265229988321,-0.6107925699368643,-0.791775593739435,-0.004883202399159664,89.720212,37.64736,-1.0,Abrolhos_Transfer,fault_Abrolhos_Transfer,1,1,0.01
26,382171.344,6676036.0,273.424125,0.6066349786631932,0.5024208456862217,0.5376835805857515,-0.6016122872952019,-0.7987354357982425,0.009184735861461724,89.47374599999999,216.987277,1.0,Abrolhos_Transfer,fault_Abrolhos_Transfer,1,1,0.01
12,340944.28807199997,6687385.860875,-2356.005197,0.2979845434821671,0.5873927026248035,0.5179980976851436,-0.867509153279301,-0.18447194256838245,-0.4619501827888477,62.486979000000005,77.99512299999999,-1.0,Coomallo,fault_Coomallo,2,2,0.01
13,342643.483167,6687586.16957,-5228.729697,0.3107057357604891,0.5888923334980378,0.4964911613511814,-0.8174068198831864,-0.16961402863032046,-0.5505244518612901,56.597,78.277337,-1.0,Coomallo,fault_Coomallo,2,2,0.01
10,349524.174513,6688397.296146,-1722.3156969999998,0.3622187126268983,0.5949649129009059,0.5227422768544305,-0.7392375117416519,-0.15080763223010113,0.656342105380033,48.978506,258.469633,1.0,Eneabba_South,fault_Eneabba_South,3,3,0.01
11,346943.91525799996,6688093.12368,-4278.195197,0.3429013463001229,0.592687695624833,0.5036074319767616,-0.63713490233579,-0.13005663247551585,0.7597001965082522,40.562225,258.462867,1.0,Eneabba_South,fault_Eneabba_South,3,3,0.01
19,358317.030388,6656233.670235,-3868.6301049999997,0.42804729852064854,0.35416874371125395,0.5066736815799718,-0.9201919939002322,-0.2886551052403491,-0.26443321383224816,74.666723,72.583876,-1.0,Hypo_fault_W,fault_Hypo_fault_W,4,4,0.01
20,359797.619749,6656698.1164379995,-8017.813104999999,0.43913187733207604,0.3576458661845262,0.47561041233192586,-0.8617308815646159,-0.27031643391348803,-0.42935872334336256,64.57313,72.583876,-1.0,Hypo_fault_W,fault_Hypo_fault_W,4,4,0.01
17,377146.26789699995,6662140.215356,-3767.4306049999996,0.5690142489967958,0.39838867843559855,0.5074313216542389,-0.9161763066413215,-0.28739542396076945,0.2793292777952722,73.779822,252.58387599999998,1.0,Hypo_fault_E,fault_Hypo_fault_E,5,5,0.01
18,375633.492464,6661665.672702,-8051.546104999999,0.5576887059713118,0.3948359678824869,0.47535786688827,-0.8763771258708782,-0.2749108155421432,0.39545818583858,66.70544699999999,252.58387599999998,1.0,Hypo_fault_E,fault_Hypo_fault_E,5,5,0.01
8,380685.471752,6692070.72881,-2475.219197,0.5955108489952987,0.6224664301650064,0.5171055902734106,-0.8401918586063559,-0.1758121040789052,0.5129987765969226,59.136216000000005,258.181256,1.0,Urella_North,fault_Urella_North,6,6,0.01
9,378225.54228600004,6691780.741355999,-5604.015697,0.5770943435450551,0.6202954103854054,0.4936815455634414,-0.7035078155881377,-0.14324081498351748,0.6961025946862741,45.884855,258.491356,1.0,Urella_North,fault_Urella_North,6,6,0.01
6,390067.01371100004,6693176.666808,-2027.0851969999999,0.6657466915296626,0.6307461444614129,0.5204605898242146,-0.812916043990313,-0.16825975870592808,0.5575447596583749,56.113829,258.305884,1.0,Darling,fault_Darling,7,7,0.01
7,387480.312066,6692871.734883999,-5468.217697,0.6463810936124342,0.62846324142784,0.4946982107327883,-0.7524314258320561,-0.15371529122257677,0.6404830666490459,50.17215,258.45384,1.0,Darling,fault_Darling,7,7,0.01
21,386644.13475900004,6662718.769315,-2733.176605,0.640120969432217,0.40272007991944186,0.5151743666037792,-0.8586150866449574,-0.10591453849514204,0.5015598105112763,59.89675,262.967799,1.0,Urella_South,fault_Urella_South,8,8,0.01
22,384322.099881,6662641.775640001,-6850.435605,0.6227368254649183,0.4021436591501257,0.4843500995418201,-0.8710573522129978,-0.10869677605611702,0.47900323592819943,61.379678000000006,262.886991,1.0,Urella_South,fault_Urella_South,8,8,0.01
23,349566.870409,6653488.831804,-1894.695784,0.36253835967867576,0.33361923909202407,0.5214517362695774,0.23141307837875946,0.07259143823489943,0.9701435307483132,14.036,72.584,1.0,Cretaceous,Sedimentary_Series,9,9,0.01
24,393713.418971,6662953.171554,-1357.485252,0.69304586545833,0.40447495548468326,0.5254736160946905,1e-12,1e-12,1.000000000001,0.0,88.101,1.0,Yarragadee,Sedimentary_Series,10,9,0.01
14,348362.594755,6688260.363945,-4800.7016969999995,0.353522430786393,0.5939397564235009,0.4996956353427365,0.1295599192410147,0.015272521463912734,0.9914539714059694,7.496,83.277,1.0,Lesueur,Sedimentary_Series,12,9,0.01
0,393936.14232,6693632.77694,957.7023029999999,0.6947133058575153,0.6341608581139778,0.542806496900548,-0.02068562310953941,-0.002438513571602104,0.9997830557926477,1.193492,263.276747,1.0,Permian,Sedimentary_Series,13,9,0.01
1,396918.892567,6693984.396839,977.204803,0.7170439608376011,0.636793295293926,0.5429525042973078,0.006055635026188944,0.0007138652841842514,0.9999814096685994,0.349367,83.276747,1.0,Permian,Sedimentary_Series,13,9,0.01
