,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series,smooth
74,391487.125,6704623.0,246.23008199999998,0.6763784952684698,0.7164402509507981,0.5374799896909532,Darling,fault_Darling,7,7,2e-06
97,387790.456275,6662756.778868,-762.774105,0.6487030189336093,0.40300464220046134,0.5299259799658611,Urella_South,fault_Urella_South,8,8,2e-06
98,385497.813244,6662680.759763,-4703.579105,0.631538919938311,0.4024355176459108,0.5004227532416974,Urella_South,fault_Urella_South,8,8,2e-06
99,383146.386518,6662602.791518,-8997.292105,0.6139347309915255,0.40185180066181503,0.4682774458419429,Urella_South,fault_Urella_South,8,8,2e-06
56,358422.044112,6689446.216689,-737.2416969999999,0.428833494160453,0.6028177603764255,0.5301171308657503,Cretaceous,Sedimentary_Series,9,9,2e-06
57,386659.170996,6662719.2678849995,-349.138105,0.6402335397089214,0.4027238125130979,0.5330227068247836,Cretaceous,Sedimentary_Series,9,9,2e-06
58,362632.03453400003,6657587.2442540005,-303.62010499999997,0.4603520041924961,0.36430240959183424,0.5333634818375108,Cretaceous,Sedimentary_Series,9,9,2e-06
59,367192.073609,6659017.683301,-940.838105,0.4944911881157733,0.37501153311322677,0.5285928862036954,Cretaceous,Sedimentary_Series,9,9,2e-06
60,373532.69589000003,6661006.673645,-713.260105,0.5419608844668051,0.389902306209385,0.5302966714281436,Cretaceous,Sedimentary_Series,9,9,2e-06
61,346487.344,6707224.0,229.78383,0.33948318038211633,0.7359128949180966,0.5373568631973766,Cretaceous,Sedimentary_Series,9,9,2e-06
62,346724.219,6709119.0,236.946081,0.3412565685173542,0.7501,0.5374104840984637,Cretaceous,Sedimentary_Series,9,9,2e-06
63,350389.25,6683986.0,253.71342,0.36869518589225325,0.5619393076393256,0.5375360144416494,Cretaceous,Sedimentary_Series,9,9,2e-06
64,349437.156,6693507.0,238.379141,0.36156723991555173,0.6332192166022819,0.5374212128440092,Cretaceous,Sedimentary_Series,9,9,2e-06
65,345866.844,6701996.5,209.750695,0.3348377457101791,0.6967766987093104,0.537206883149163,Cretaceous,Sedimentary_Series,9,9,2e-06
66,363848.313,6642899.0,248.562248,0.4694577933249489,0.2543374150271015,0.5374974496825682,Cretaceous,Sedimentary_Series,9,9,2e-06
67,362850.906,6651604.0,222.729354,0.46199060708831247,0.31950825921600334,0.5373040491644956,Cretaceous,Sedimentary_Series,9,9,2e-06
68,358589.188,6662303.5,280.211703,0.4300848334231731,0.39961112508609586,0.5377343964603359,Cretaceous,Sedimentary_Series,9,9,2e-06
69,353762.938,6672419.5,254.33846499999999,0.39395263505824635,0.4753455604468002,0.5375406939029138,Cretaceous,Sedimentary_Series,9,9,2e-06
33,343600.199481,6687698.951555001,-2875.8256969999998,0.31786828714850474,0.5897366869927876,0.5141064100559998,Yarragadee,Sedimentary_Series,10,9,2e-06
34,344814.486275,6687842.097096,-2788.489697,0.32695916543137804,0.5908083602551423,0.5147602596651992,Yarragadee,Sedimentary_Series,10,9,2e-06
35,347069.591029,6688107.9389,-2846.7136969999997,0.3438422304000843,0.5927986112358908,0.5143243599257329,Yarragadee,Sedimentary_Series,10,9,2e-06
36,353590.199732,6688876.6173290005,-3666.6156969999997,0.392659412915881,0.5985533983843956,0.508186082442428,Yarragadee,Sedimentary_Series,10,9,2e-06
37,380367.581667,6662510.652334,-3808.3171049999996,0.5931309334067025,0.401161991540143,0.5071252208247238,Yarragadee,Sedimentary_Series,10,9,2e-06
38,383506.431648,6662614.729839,-4126.926105,0.6166302444973504,0.40194117808372953,0.504739923007816,Yarragadee,Sedimentary_Series,10,9,2e-06
39,364082.361402,6658042.197412999,-4505.867104999999,0.471210019854461,0.36770846145149694,0.5019029437007756,Yarragadee,Sedimentary_Series,10,9,2e-06
40,371404.678673,6660339.135743,-4673.112105,0.5260292729239666,0.3849047176279431,0.500650847453059,Yarragadee,Sedimentary_Series,10,9,2e-06
41,350920.928223,6653913.586316001,-1610.8731050000001,0.3726756475384069,0.336799205791638,0.5235766028508969,Yarragadee,Sedimentary_Series,10,9,2e-06
42,353520.717446,6654729.114419,-1894.696105,0.39213922690384273,0.3429047376620865,0.5214517338663792,Yarragadee,Sedimentary_Series,10,9,2e-06
43,342049.687219,6651550.53228,-2478.249105,0.3062602236172257,0.31910796783757023,0.5170829065672446,Yarragadee,Sedimentary_Series,10,9,2e-06
44,343851.059886,6651980.003672,-2446.3201050000002,0.3197463784026597,0.32232324792621225,0.5173219461863264,Yarragadee,Sedimentary_Series,10,9,2e-06
45,345590.316523,6652394.66577,-2605.9631050000003,0.332767495380769,0.3254276567693817,0.5161267630641152,Yarragadee,Sedimentary_Series,10,9,2e-06
46,388868.827634,6662792.535339,-830.8091049999999,0.6567763528583839,0.40327233656005523,0.5294166292037253,Yarragadee,Sedimentary_Series,10,9,2e-06
47,391549.358494,6662881.415969,-958.5241050000001,0.6768444124816582,0.40393775019465306,0.5284604782139969,Yarragadee,Sedimentary_Series,10,9,2e-06
48,394612.827902,6662982.994016999,-990.453105,0.6997793794507834,0.4046982243059876,0.5282214385949151,Yarragadee,Sedimentary_Series,10,9,2e-06
49,353033.649508,6688811.008707,-5424.239697,0.38849274457221616,0.5980622129413345,0.49502745638307427,Eneabba,Sedimentary_Series,11,9,2e-06
50,341942.065605,6651524.873845,-4152.902105,0.3054545037507866,0.3189158734240696,0.5045454511125086,Eneabba,Sedimentary_Series,11,9,2e-06
51,342823.407616,6651734.997595,-4152.902105,0.31205275795825504,0.3204889856781367,0.5045454511125086,Eneabba,Sedimentary_Series,11,9,2e-06
52,337375.39754499996,6650010.823057,-1199.239105,0.2712656912751176,0.3075807823271314,0.5266583415386458,Eneabba,Sedimentary_Series,11,9,2e-06
53,338177.661298,6650617.378871,-1227.176105,0.27727191827628606,0.312121822470281,0.5264491884227234,Eneabba,Sedimentary_Series,11,9,2e-06
0,383267.125849,6692375.065706,42.347303000000004,0.6148386579447793,0.62474487846255,0.5359536010840595,Lesueur,Sedimentary_Series,12,9,2e-06
1,385656.99941,6692656.794658001,42.347303000000004,0.63273068292756,0.6268540701494368,0.5359536010840595,Lesueur,Sedimentary_Series,12,9,2e-06
2,388158.02928099997,6692951.627211,42.347303000000004,0.6514548906282756,0.6290613632422951,0.5359536010840595,Lesueur,Sedimentary_Series,12,9,2e-06
3,390510.850409,6693228.988256,-88.23369699999999,0.6690695189036628,0.6311378541610516,0.534975993501632,Lesueur,Sedimentary_Series,12,9,2e-06
4,352976.841866,6688804.311969,-5833.794697,0.3880674485371188,0.598012077149402,0.491961282334621,Lesueur,Sedimentary_Series,12,9,2e-06
5,349411.679351,6653440.149908001,-4324.030105,0.36137650646093533,0.33325477725871144,0.5032642844009223,Lesueur,Sedimentary_Series,12,9,2e-06
6,351841.686031,6654202.418911,-4392.337105,0.3795689920117992,0.3389615796050054,0.5027528972838619,Lesueur,Sedimentary_Series,12,9,2e-06
7,380356.70164600003,6662510.291576,-6567.699105,0.5930494790524967,0.40115929068966494,0.4864668343365376,Lesueur,Sedimentary_Series,12,9,2e-06
8,382545.93150999997,6662582.881723001,-6806.655105,0.609439365136406,0.4017027440107258,0.484677866588806,Lesueur,Sedimentary_Series,12,9,2e-06
9,392541.609621,6693468.383207,928.4483029999999,0.6842729987647116,0.6329301081588945,0.5425874839337586,Permian,Sedimentary_Series,13,9,2e-06
10,395330.675019,6693797.170673001,986.9563029999999,0.7051536129503195,0.635391608069061,0.5430255098673374,Permian,Sedimentary_Series,13,9,2e-06
11,398507.110115,6694171.623005,967.4533029999999,0.7289343087248827,0.6381949825187909,0.5428794987272781,Permian,Sedimentary_Series,13,9,2e-06
12,338267.78326,6687070.342554,-4782.514697,0.2779466252657746,0.5850305434821684,0.49983179411852785,Permian,Sedimentary_Series,13,9,2e-06
13,340255.613728,6687304.676873,-5079.046697,0.29282871483544515,0.5867849105576044,0.497611777947474,Permian,Sedimentary_Series,13,9,2e-06
14,348501.43139499996,6688276.730626999,-7154.775697,0.3545618450348877,0.5940622872083925,0.4820716273171024,Permian,Sedimentary_Series,13,9,2e-06
15,352571.944537,6688756.580866001,-7836.879697,0.38503614460365965,0.5976547335220003,0.47696498820112,Permian,Sedimentary_Series,13,9,2e-06
16,357602.56253,6689349.612546,-8273.556697,0.42269836417812157,0.6020945238972217,0.4736957626149193,Permian,Sedimentary_Series,13,9,2e-06
17,372576.27159099997,6691114.780137001,-7525.440697,0.5348005192779925,0.6153096257973273,0.4792966071032851,Permian,Sedimentary_Series,13,9,2e-06
18,385092.242016,6692590.218537999,-1668.921697,0.6285025707932803,0.626355641436823,0.5231420163207858,Permian,Sedimentary_Series,13,9,2e-06
