696000	6863000	-20000	5
696000	6863000	-19679.3651	5
696000	6863000	-19358.7302	5
696000	6863000	-19038.0952	5
696000	6863000	-18717.4603	5
696000	6863000	-18396.8254	5
696000	6863000	-18076.1905	5
696000	6863000	-17755.5556	5
696000	6863000	-17434.9206	5
696000	6863000	-17114.2857	5
696000	6863000	-16793.6508	5
696000	6863000	-16473.0159	5
696000	6863000	-16152.381	5
696000	6863000	-15831.746	5
696000	6863000	-15511.1111	5
696000	6863000	-15190.4762	5
696000	6863000	-14869.8413	5
696000	6863000	-14549.2063	5
696000	6863000	-14228.5714	5
696000	6863000	-13907.9365	5
696000	6863000	-13587.3016	5
696000	6863000	-13266.6667	5
696000	6863000	-12946.0317	5
696000	6863000	-12625.3968	5
696000	6863000	-12304.7619	5
696000	6863000	-11984.127	5
696000	6863000	-11663.4921	1
696000	6863000	-11342.8571	1
696000	6863000	-11022.2222	1
696000	6863000	-10701.5873	1
696000	6863000	-10380.9524	1
696000	6863000	-10060.3175	1
696000	6863000	-9739.68254	1
696000	6863000	-9419.04762	1
696000	6863000	-9098.4127	1
696000	6863000	-8777.77778	1
696000	6863000	-8457.14286	1
696000	6863000	-8136.50794	1
696000	6863000	-7815.87302	1
696000	6863000	-7495.2381	1
696000	6863000	-7174.60317	1
696000	6863000	-6853.96825	1
696000	6863000	-6533.33333	1
696000	6863000	-6212.69841	1
696000	6863000	-5892.06349	1
696000	6863000	-5571.42857	1
696000	6863000	-5250.79365	1
696000	6863000	-4930.15873	1
696000	6863000	-4609.52381	1
696000	6863000	-4288.88889	1
696000	6863000	-3968.25397	1
696000	6863000	-3647.61905	1
696000	6863000	-3326.98413	1
696000	6863000	-3006.34921	1
696000	6863000	-2685.71429	1
696000	6863000	-2365.07937	1
696000	6863000	-2044.44444	1
696000	6863000	-1723.80952	1
696000	6863000	-1403.1746	1
696000	6863000	-1082.53968	1
696000	6863000	-761.904762	1
696000	6863000	-441.269841	1
696000	6863000	-120.634921	1
696000	6863000	200	1
696000	6864063.49	-20000	5
696000	6864063.49	-19679.3651	5
696000	6864063.49	-19358.7302	5
696000	6864063.49	-19038.0952	5
696000	6864063.49	-18717.4603	5
696000	6864063.49	-18396.8254	5
696000	6864063.49	-18076.1905	5
696000	6864063.49	-17755.5556	5
696000	6864063.49	-17434.9206	5
696000	6864063.49	-17114.2857	5
696000	6864063.49	-16793.6508	5
696000	6864063.49	-16473.0159	5
696000	6864063.49	-16152.381	5
696000	6864063.49	-15831.746	5
696000	6864063.49	-15511.1111	5
696000	6864063.49	-15190.4762	5
696000	6864063.49	-14869.8413	5
