,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
237,69.960449,152.663757,-102.014,0.40089495928519436,0.4421644189712721,0.531664633501506,-0.21396500000000002,0.463621,0.8598110000000001,30.704631397836682,335.22627794169,1,0,Default series,1,1,0.01
245,110.25315900000001,21.706221,-118.022,0.45146864914589724,0.2777921091766261,0.5115720751382156,0.6080810000000001,-0.678715,-0.41180500000000003,114.31827261875073,138.14189099943678,1,0,Default series,1,1,0.01
253,181.999619,27.998175,-158.57299999999998,0.541521743530547,0.28568950129082765,0.4606741906935763,0.176559,-0.109124,0.9782219999999999,11.979479949978794,121.71853977373426,1,0,Default series,1,1,0.01
256,47.992203,203.963089,-97.2754,0.3733213545316887,0.506553150993249,0.5376123219735378,0.166746,0.598258,0.783762,38.39367706124148,15.574175273674918,1,0,Default series,1,1,0.01
257,77.969368,265.854919,-120.539,0.4109474125856919,0.5842371344069074,0.5084128441661765,-0.225421,0.924617,0.307033,72.1194840534473,346.29861543129994,1,0,Default series,1,1,0.01
263,107.58573899999999,31.653513,-136.026,0.4481206174099272,0.2902775255351151,0.4889742227661092,0.9869829999999999,0.151823,0.053049,86.95908876679655,81.25500246091978,1,0,Default series,1,1,0.01
268,252.0,30.527915999999998,-142.0,0.6293832340787141,0.2888647242222687,0.48147591294212766,0.25095500000000004,-0.842623,0.476454,61.54593789191182,163.4151025498019,1,0,Default series,1,1,0.01
269,91.927391,0.366973,-158.026,0.428466927313556,0.2510079958664858,0.4613607617470945,0.748314,-0.649654,-0.134075,97.70513503309724,130.9631088549415,1,0,Default series,1,1,0.01
272,206.526321,38.0,-86.0,0.5723066130579102,0.2982433651433961,0.5517647228087105,-0.8481479999999999,-0.198543,0.491147,60.58400153014426,256.8248670562866,1,0,Default series,1,1,0.01
273,242.0,32.0,-92.6177,0.6168316608882529,0.2907124212291194,0.543458468218459,0.556145,-0.05251,0.829425,33.96028316643154,95.3937527354218,1,0,Default series,1,1,0.01
275,193.99856599999998,125.993202,-95.4583,0.5565823096784435,0.40868867665999997,0.5398930683379766,0.18446300000000002,-0.2679,0.945623,18.98161408998475,145.45057928191247,1,0,Default series,1,1,0.01
276,163.96191399999998,150.820541,-116.01299999999999,0.5188815860810022,0.43985089291828916,0.5140936861921792,0.690552,0.641831,-0.333455,109.47861465093752,47.09419098437302,1,0,Default series,1,1,0.01
279,258.0,59.78195600000001,-152.0,0.6369141779929908,0.3255831466399367,0.4689243397516665,0.751009,0.547597,-0.36894899999999997,111.65081398955854,53.90239987566885,1,0,Default series,1,1,0.01
292,22.0,232.0,-157.39600000000002,0.3406970506981061,0.5417438850383438,0.4621515108580936,0.09592200000000001,0.465437,0.879868,28.37355555705589,11.645057510833372,1,0,Default series,1,1,0.01
299,218.368423,361.9328,-154.005,0.5871703140561009,0.7048299899424997,0.466407749326979,-0.283997,-0.199309,0.937882,20.30114520735585,234.93883472691144,1,0,Default series,1,1,0.01
301,163.947968,240.59403999999998,-148.018,0.5188640816570308,0.5525307572445188,0.4739223761961081,0.56962,-0.821564,-0.023768,91.36193433816122,145.26503244684469,1,0,Default series,1,1,0.01
307,198.0,56.0,-103.175,0.5616047388502236,0.32083619688622633,0.5302073958540934,-0.146068,0.087644,0.9853850000000001,9.807705069031037,300.9646794740996,1,0,Default series,1,1,0.01
308,67.99762700000001,343.98877000000005,-147.178,0.3984313088859096,0.6823074093548166,0.4749767083441069,0.121295,-0.074488,0.989818,8.18320376233998,121.55433973646271,1,0,Default series,1,1,0.01
310,199.970459,297.807343,-138.01,0.5640779748859538,0.6243424532517723,0.4864839906451217,0.404763,-0.8543709999999999,-0.325909,109.02065556845523,154.6504859219593,1,0,Default series,1,1,0.01
313,53.960754,183.921478,-156.006,0.3808128250034387,0.4813977762611238,0.4638961795315677,0.536501,-0.395437,-0.745517,138.2035245483923,126.3926895822052,1,0,Default series,1,1,0.01
315,14.458169,77.970123,-124.00200000000001,0.33123086631944715,0.34841215757001986,0.5040662343703197,0.886999,0.210208,0.41115100000000004,65.72284064818164,76.66756111757925,1,0,Default series,1,1,0.01
324,57.946971999999995,43.748847999999995,-162.506,0.38581615570145206,0.3054590737866798,0.4557376569577679,-0.001356,-0.050306000000000003,0.998733,2.884508364057066,181.54403587306842,1,0,Default series,1,1,0.01
330,158.441803,232.376404,-126.726,0.5119529783574052,0.542216331273862,0.5006471858332381,0.9352299999999999,-0.34517600000000004,0.078726,85.48466006246514,110.25816577502043,1,0,Default series,1,1,0.01
337,218.0,3.190521,-146.0,0.5867078852311459,0.2545519928043638,0.4764552836659432,0.284114,-0.76772,0.574357,54.94538506022982,159.6917452664241,1,0,Default series,1,1,0.01
352,135.931763,153.616074,-116.024,0.4836993368993842,0.44335972662387413,0.5140798794616698,-0.579629,0.754163,-0.308656,107.97825346973336,322.45510796801943,1,0,Default series,1,1,0.01
356,47.999996,396.0,-135.125,0.373331135972676,0.7475896853619077,0.49010511951056973,-0.016145,0.096514,0.995201,5.615479418292128,350.5034098126344,1,0,Default series,1,1,0.01
360,255.01097099999998,284.0,-130.0,0.6331624763667997,0.6070120656287421,0.4965378007706811,-0.565607,0.82365,-0.041097,92.35534798429785,325.52230437909145,1,0,Default series,1,1,0.01
362,109.63803899999999,31.669096000000003,-128.025,0.45069657677580555,0.29029708465161774,0.4990167364757972,0.8610770000000001,-0.035414999999999995,-0.507239,120.48009528864422,92.35517503239986,1,0,Default series,1,1,0.01
367,174.150681,77.95725999999999,-112.00299999999999,0.5316700915531077,0.34839601248142493,0.5191268670415542,0.20312,-0.978677,-0.030543,91.75025719411605,168.2749801169194,1,0,Default series,1,1,0.01
369,224.82016000000002,56.0,-106.0,0.5952682589722116,0.32083619688622633,0.5266615764277881,0.034705,0.996767,0.072461,85.84464875090688,1.9940940098377118,1,0,Default series,1,1,0.01
378,206.0,28.0,-108.915,0.5716459974025925,0.2856917919529349,0.5230027928427686,-0.647908,-0.346783,-0.678201,132.70322228404638,241.8427542103256,1,0,Default series,1,1,0.01
379,194.0,4.0,-153.494,0.556584109574039,0.255568016295828,0.46704913471701154,-0.33902,-0.143234,0.9298120000000001,21.59447182572013,247.09622183741666,1,0,Default series,1,1,0.01
382,266.0,48.0,-150.849,0.6469554365453598,0.31079493833385735,0.4703690258258886,0.484467,0.12881099999999998,-0.865274,149.9140072083394,75.11057039795652,1,0,Default series,1,1,0.01
386,62.0,384.0,-136.339,0.3909033434599509,0.7325277975333543,0.48858135852524776,0.021084000000000002,-0.371861,0.928049,21.867296209495514,176.75488363903654,1,0,Default series,1,1,0.01
399,65.979752,213.90411400000002,-157.299,0.3958985583107394,0.5190307012808195,0.462273261118041,-0.14406,0.164325,0.97583,12.622767967668809,318.75968995775713,1,0,Default series,1,1,0.01
402,294.0,69.393478,-152.0,0.6820998414786512,0.33764711882540954,0.4689243397516665,-0.167016,0.12229300000000001,0.978341,11.946586377777548,306.2124558217844,1,0,Default series,1,1,0.01
404,290.0,100.0,-109.88799999999999,0.6770792122024667,0.3760631189242557,0.5217815247713368,0.7622270000000001,-0.32698499999999997,0.558652,56.03737426726075,113.21867314912846,1,0,Default series,1,1,0.01
408,214.0,11.629642,-120.0,0.5816872559549615,0.26514441729382965,0.5090893739611424,-0.385411,-0.782794,0.48856099999999997,60.753955911285686,206.21346900669388,1,0,Default series,1,1,0.01
417,254.0,118.008255,-122.0,0.6318935487168064,0.39866631199075464,0.5065790593230501,-0.65333,0.650682,0.387004,67.2317924931782,314.8836521323348,1,0,Default series,1,1,0.01
426,296.0,86.0,-149.094,0.6846101561167435,0.35849091645761,0.4725718269208145,0.32874200000000003,-0.529868,0.781772,38.57689440348516,148.18360687592,1,0,Default series,1,1,0.01
428,225.999985,12.309198,-106.0,0.5967491249561552,0.2659973669809314,0.5266615764277881,-0.018137999999999998,-0.9740120000000001,-0.225768,103.04804342463086,181.0668356721548,1,0,Default series,1,1,0.01
431,246.0,64.925285,-116.0,0.6218522901644373,0.3320388336785489,0.5141100032373268,0.002113,0.648359,-0.7613310000000001,139.58167682262504,0.18672610929666625,1,0,Default series,1,1,0.01
432,269.478363,40.0,-144.0,0.651321329323109,0.30075367978148837,0.4789655983040354,0.8522790000000001,-0.523027,-0.007996,90.45814193503674,121.53662880623585,1,0,Default series,1,1,0.01
433,230.0,13.274841,-108.0,0.6017697730596994,0.26720940085996703,0.5241512617896958,0.181137,-0.878906,-0.44126400000000005,116.18455715095106,168.35474894569415,1,0,Default series,1,1,0.01
445,69.549965,175.82849099999999,-104.01299999999999,0.400379737288243,0.47123980439512864,0.5291555740207328,0.632224,-0.7722859999999999,0.062194000000000006,86.43424498552592,140.6948809040603,1,0,Default series,1,1,0.01
448,71.134354,35.650261,-130.026,0.40236839473780917,0.295294073039698,0.4965051666803859,-0.9802049999999999,-0.19273099999999999,-0.045301,92.59644468686868,258.87622520888567,1,0,Default series,1,1,0.01
456,183.98199499999998,179.882507,-152.006,0.5440099372760484,0.47632823224905874,0.46891680880775216,-0.594445,0.474649,0.649109,49.52554206887989,308.6064627739316,1,0,Default series,1,1,0.01
458,230.0,60.0,-110.969,0.6017697730596994,0.3258568261624108,0.5204246997094479,-0.30651799999999996,0.729858,0.6110270000000001,52.336201148267,337.2190863965328,1,0,Default series,1,1,0.01
459,233.984283,392.762421,-128.006,0.6067706750283005,0.7435260143840677,0.4990405844648591,0.877026,-0.466898,0.11327899999999999,83.4956296566856,118.02927742141752,1,0,Default series,1,1,0.01
466,85.979347,323.902191,-141.36700000000002,0.42100119635294764,0.6570955927083684,0.48227042752508387,0.43994799999999995,0.302433,0.845565,32.26747842618424,55.49424067048582,1,0,Default series,1,1,0.01
479,11.990132000000001,17.953267999999998,-170.905,0.32813309161522053,0.27308156275064005,0.4451955906350995,0.15070799999999998,-0.116177,0.981728,10.96968573065497,127.62772409474306,1,0,Default series,1,1,0.01
484,212.48214700000003,54.0,-126.0,0.5797821116527754,0.3183258822481341,0.5015584300468656,0.7035319999999999,-0.704458,0.093706,84.62315317016197,135.03768200355086,1,0,Default series,1,1,0.01
501,165.923248,348.948486,-106.027,0.5213433688061963,0.6885326331926067,0.5266276871801738,0.42901300000000003,-0.762105,0.48491599999999996,60.99303089519109,150.62346405362084,1,0,Default series,1,1,0.01
504,228.0,14.0,-97.3518,0.5992594584216072,0.2681195894862892,0.5375164279543627,0.130635,-0.9365620000000001,0.32524899999999995,71.01933874350615,172.0594127969063,1,0,Default series,1,1,0.01
505,202.0,60.0,-102.944,0.566625368126408,0.3258568261624108,0.530497337194793,-0.237085,0.095077,0.966825,14.799638564106354,291.8520167971679,1,0,Default series,1,1,0.01
509,262.0,80.651466,-120.0,0.6419348072691753,0.35177766486134293,0.5090893739611424,0.13542,-0.9643229999999999,0.22747199999999998,76.85171663536852,172.00622039801422,1,0,Default series,1,1,0.01
514,224.269882,104.0,-156.0,0.5945775735130014,0.38108374820044016,0.46390371047548196,-0.375472,-0.356894,0.8553639999999999,31.200028774740662,226.45311601164454,1,0,Default series,1,1,0.01
516,69.169495,89.696526,-136.023,0.3999021875830655,0.36313063812155427,0.4889779882380663,-0.620628,0.775203,0.11781900000000001,83.23375247140542,321.3192144710243,1,0,Default series,1,1,0.01
521,284.0,64.0,-153.105,0.66954826828819,0.33087745543859526,0.4675373909141205,-0.24067,0.209485,0.947731,18.60671892064389,311.037101125561,1,0,Default series,1,1,0.01
527,153.97825600000002,47.897018,-157.619,0.5063505246714488,0.3106656797228273,0.4618716107759463,0.057508000000000004,0.05703300000000001,0.996715,4.645412422531532,45.23760347174821,1,0,Default series,1,1,0.01
530,254.0,2.0,-155.55,0.6318935487168064,0.2530577016577358,0.4644685312690527,-0.132157,0.002583,0.991225,7.595900772637039,271.11969973503005,1,0,Default series,1,1,0.01
532,129.948792,85.550514,-162.018,0.47618976705909355,0.3579267408149012,0.4563501737294624,0.042029000000000004,0.8847219999999999,-0.46421999999999997,117.65975346342374,2.71980947734959,1,0,Default series,1,1,0.01
533,76.88059200000001,141.832947,-88.0124,0.4095808274204901,0.42857004852857417,0.5492388442198621,-0.539938,-0.113113,0.8340700000000001,33.48087593306113,258.16806925006654,1,0,Default series,1,1,0.01
551,223.765579,60.0,-114.0,0.5939445939115346,0.3258568261624108,0.5166203178754191,0.9723149999999999,0.203719,-0.114461,96.57253734029017,78.16658855439866,1,0,Default series,1,1,0.01
562,212.0,42.0,-79.1713,0.5791769413168693,0.30326399441958063,0.5603358155932807,-0.37146,0.070704,0.925753,22.21782376827345,280.77681292632917,1,0,Default series,1,1,0.01
564,206.0,40.0,-86.322,0.5716459974025925,0.30075367978148837,0.5513605621519776,-0.8866450000000001,-0.050197000000000006,0.45971899999999993,62.6310234262258,266.7596847281393,1,0,Default series,1,1,0.01
571,237.992798,355.36138900000003,-106.00299999999999,0.6118019919690566,0.6965818353293896,0.526657810955831,0.139731,0.9432159999999999,-0.30136199999999996,107.53942637377179,8.426689430601618,1,0,Default series,1,1,0.01
583,147.404282,157.757263,-154.018,0.4980991530901299,0.44855757030677745,0.4663914322818314,-0.232225,0.954026,-0.18949000000000002,100.9230226856128,346.31935887354734,1,0,Default series,1,1,0.01
590,78.931374,167.76843300000002,-152.017,0.4121548814575582,0.46112316360449246,0.46890300207724267,-0.6819149999999999,0.698235,-0.21785300000000002,102.58296058102107,315.6774796530075,1,0,Default series,1,1,0.01
591,198.0,76.81118000000001,-116.0,0.5616047388502236,0.3469575017812126,0.5141100032373268,-0.270972,0.953076,-0.13498,97.75746338749681,344.1288541065719,1,0,Default series,1,1,0.01
596,2.0,211.64944500000001,-160.0,0.31559390431718365,0.5162007369834432,0.4588830811992975,-0.047251999999999995,-0.354065,0.934026,20.92864605369411,187.60153309224108,1,0,Default series,1,1,0.01
609,0.0,392.0,-122.539,0.31308358967909145,0.7425690560857232,0.5059025295280842,0.443859,-0.771429,0.455946,62.87418193352173,150.08506295689332,1,0,Default series,1,1,0.01
611,244.0,186.55071999999998,-160.0,0.6193419755263452,0.48469788860096724,0.4588830811992975,0.6098680000000001,-0.167105,0.7746850000000001,39.22351768759612,105.32307228010868,1,0,Default series,1,1,0.01
614,278.0,192.48588600000002,-138.0,0.6620173243739133,0.49214745564562096,0.4864965422183122,-0.064662,0.997907,3.9e-05,89.99776546459842,356.29255283173217,1,0,Default series,1,1,0.01
619,280.0,16.0,-154.577,0.6645276390120055,0.2706299041243815,0.4656897993404846,0.026362,0.076731,0.9967030000000001,4.653894119065495,18.96087024784977,1,0,Default series,1,1,0.01
625,76.62661700000001,31.684997999999997,-164.023,0.4092620488403854,0.2903170441633052,0.4538335833047749,-0.8052279999999999,-0.23054899999999998,-0.5463100000000001,123.11422998046812,254.02277882459586,1,0,Default series,1,1,0.01
644,288.0,4.0,-155.739,0.6745688975643744,0.255568016295828,0.464231306535753,0.17990699999999998,-0.394911,0.900932,25.719153813025493,155.50772650668253,1,0,Default series,1,1,0.01
648,270.0,122.885811,-100.0,0.6519760658215443,0.4047884121032119,0.5341925203420648,0.214069,0.950558,0.224977,76.99847431564598,12.691481526591943,1,0,Default series,1,1,0.01
651,65.93589,18.794829999999997,-116.023,0.3958435046004114,0.2741378554543711,0.5140811346189887,-0.350641,0.390217,0.851341,31.6421751394791,318.0577851218372,1,0,Default series,1,1,0.01
