,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series,smooth
68,179.992416,82.481415,-128.003,0.5390023879942857,0.3540745387421741,0.49904434993681623,0,Default series,1,1,2e-06
69,278.0,82.569084,-134.0,0.6620173243739133,0.3541845771291775,0.49151717149449664,0,Default series,1,1,2e-06
70,247.088379,152.923553,-102.485,0.6232183770321835,0.442490503822131,0.5310734544042351,0,Default series,1,1,2e-06
71,276.0,196.0,-154.766,0.659507009735821,0.49655822155268337,0.46545257460718487,0,Default series,1,1,2e-06
72,248.0,43.380882,-126.0,0.6243626048025296,0.3049972185686196,0.5015584300468656,0,Default series,1,1,2e-06
73,145.898132,285.399078,-111.991,0.4962086978940486,0.6087681286203585,0.5191419289293827,0,Default series,1,1,2e-06
76,11.297666,79.986389,-112.001,0.3272639378471299,0.3509428885970637,0.5191293773561922,0,Default series,1,1,2e-06
77,7.997524,61.988274,-108.81200000000001,0.3231217404619384,0.3283524228257799,0.5231320740466303,0,Default series,1,1,2e-06
78,131.956482,75.793846,-101.766,0.47870973385696924,0.34568058756519815,0.5319759125166293,0,Default series,1,1,2e-06
80,216.45141600000002,176.091599,-116.572,0.5847641686893883,0.47157004632702826,0.5133920532508325,0,Default series,1,1,2e-06
81,195.983551,225.922089,-146.901,0.5590737781293903,0.5341151505621828,0.4753243869214826,0,Default series,1,1,2e-06
82,17.988695,67.946465,-134.056,0.3356622318684298,0.3358308898677046,0.49144688268463005,0,Default series,1,1,2e-06
83,143.973267,27.873410999999997,-161.92,0.4937926895011229,0.2855329028430742,0.4564731791467289,0,Default series,1,1,2e-06
84,141.946213,157.745224,-156.90200000000002,0.4912484178369212,0.44854245946781346,0.46277155857370234,0,Default series,1,1,2e-06
85,87.943558,15.732657999999999,-102.70700000000001,0.4234665901657485,0.270294347856393,0.5307948094794069,0,Default series,1,1,2e-06
87,232.0,0.0,-154.94299999999998,0.6042800876977916,0.2505473870196435,0.46523041176171376,0,Default series,1,1,2e-06
88,292.0,24.0,-155.217,0.679589526840559,0.2806711626767504,0.46488649865629506,0,Default series,1,1,2e-06
89,258.0,56.0,-115.98899999999999,0.6369141779929908,0.32083619688622633,0.5141238099678364,0,Default series,1,1,2e-06
91,206.0,48.262229999999995,-120.0,0.5716459974025925,0.3111240782376308,0.5090893739611424,0,Default series,1,1,2e-06
92,105.93318899999998,84.725967,-108.023,0.4460464071823375,0.35689180461295367,0.5241223931713578,0,Default series,1,1,2e-06
93,25.997920999999998,149.990158,-160.843,0.3457150705022243,0.43880863161822775,0.4578249835793416,0,Default series,1,1,2e-06
94,102.8591,127.66108700000001,-110.025,0.4421879418745884,0.41078213472507724,0.5216095682186274,0,Default series,1,1,2e-06
95,295.418121,88.0,-146.0,0.6838798064310943,0.36100123109570226,0.4764552836659432,0,Default series,1,1,2e-06
96,217.99235499999998,295.963776,-150.55100000000002,0.5866982895534418,0.6220284866385705,0.47074306270696425,0,Default series,1,1,2e-06
98,135.417358,61.779537,-116.016,0.4830536776986803,0.3280904250524742,0.5140899207202221,0,Default series,1,1,2e-06
99,39.989258,149.949112,-158.681,0.3632763995410151,0.4387571124309102,0.4605386337031193,0,Default series,1,1,2e-06
100,191.999252,93.99651300000001,-103.454,0.5540728560782722,0.36852779827640747,0.5298572069620795,0,Default series,1,1,2e-06
101,117.932671,49.207203,-142.024,0.4611076448393997,0.31231016801488176,0.4814457891664706,0,Default series,1,1,2e-06
102,152.01856999999998,87.85836,-106.01100000000001,0.5038908104455165,0.36082345061303256,0.5266477696972786,0,Default series,1,1,2e-06
104,93.928154,2.548177,-158.025,0.43097819963668266,0.2537457500314185,0.4613620169044136,0,Default series,1,1,2e-06
106,276.177917,80.0,-130.0,0.6597303235605537,0.3509599725433332,0.4965378007706811,0,Default series,1,1,2e-06
107,35.966408,5.840896,-173.18599999999998,0.3582270899200904,0.2578786303838307,0.4423325767903553,0,Default series,1,1,2e-06
108,227.59405499999997,50.0,-124.0,0.598749933583727,0.31330525297194955,0.5040687446849579,0,Default series,1,1,2e-06
109,202.53537,40.0,-92.0,0.5672973417003058,0.30075367978148837,0.5442337788944338,0,Default series,1,1,2e-06
110,278.0,80.0,-156.53,0.6620173243739133,0.3509599725433332,0.46323847709638755,0,Default series,1,1,2e-06
111,205.999146,159.995972,-100.306,0.5716449254982421,0.4513675022933419,0.5338084422024367,0,Default series,1,1,2e-06
112,296.0,176.0,-158.39,0.6846101561167435,0.47145507517176094,0.46090388448296177,0,Default series,1,1,2e-06
113,65.93555500000001,22.307667000000002,-162.023,0.3958430841227095,0.27854701852553715,0.45634389794286717,0,Default series,1,1,2e-06
114,41.965008000000005,45.834259,-164.333,0.36575627661412047,0.3080765926665491,0.4534444845358706,0,Default series,1,1,2e-06
116,181.93232700000002,371.679443,-98.6408,0.5414372814842338,0.7170635602400793,0.5358985301701122,0,Default series,1,1,2e-06
117,65.934433,25.689467999999998,-118.7,0.39584167583619756,0.28279171080224463,0.5107210784759023,0,Default series,1,1,2e-06
118,35.988392,123.94503,-161.562,0.35825468329859234,0.40611789858353464,0.45692252546694745,0,Default series,1,1,2e-06
120,183.776703,55.990280000000006,-146.001,0.5437522635197067,0.3208239967570852,0.4764540285086241,0,Default series,1,1,2e-06
121,159.98945600000002,15.950037,-157.059,0.5138955263476989,0.27056719269924995,0.4625744988746121,0,Default series,1,1,2e-06
123,53.984322,164.74324,-92.0055,0.380842406551134,0.4573260704690153,0.544226875529179,0,Default series,1,1,2e-06
124,97.92881,86.957237,-112.025,0.43599965229606846,0.3596923994842217,0.5190992535805352,0,Default series,1,1,2e-06
125,45.987171000000004,167.93923999999998,-102.306,0.37080472394196695,0.4613375532606867,0.5312981275643445,0,Default series,1,1,2e-06
126,143.966049,91.731422,-168.012,0.49378362977559404,0.36568475272945195,0.44882676075909994,0,Default series,1,1,2e-06
127,73.94950899999999,169.645493,-132.018,0.40590185714030846,0.4634791692017811,0.49400489330084607,0,Default series,1,1,2e-06
128,19.063925,204.0,-114.0,0.3370118146725878,0.5065994801050524,0.5166203178754191,0,Default series,1,1,2e-06
129,55.946835,33.748191999999996,-163.19899999999998,0.38330566910680713,0.2929066772130173,0.45486783293566896,0,Default series,1,1,2e-06
131,192.617538,16.0,-144.0,0.5548489022764359,0.2706299041243815,0.4789655983040354,0,Default series,1,1,2e-06
132,50.97047,11.734254,-160.02,0.3770595481548122,0.2652757218112897,0.45885797805291656,0,Default series,1,1,2e-06
133,149.958588,97.60932199999999,-120.015,0.5013052089611133,0.3730624419350731,0.5090705466013566,0,Default series,1,1,2e-06
134,7.991511999999999,1.9598,-174.96099999999998,0.3231141944561363,0.2530072443335101,0.44010467254904845,0,Default series,1,1,2e-06
135,204.0,111.999977,-151.55,0.5691356827645002,0.3911249778841908,0.4694891605452372,0,Default series,1,1,2e-06
137,288.0,340.0,-166.067,0.6745688975643744,0.6773008754953249,0.45126804174464463,0,Default series,1,1,2e-06
139,169.69267299999998,179.84930400000002,-154.011,0.5260745901835416,0.4762865572605945,0.4664002183830647,0,Default series,1,1,2e-06
140,47.167294,13.740329000000001,-154.019,0.3722859639627916,0.2677936615300952,0.4663901771245123,0,Default series,1,1,2e-06
141,109.94265700000001,48.187515000000005,-168.02,0.45107892028801877,0.3110302991585383,0.4488167195005476,0,Default series,1,1,2e-06
142,298.0,101.672127,-118.0,0.6871204707548357,0.3781619013666803,0.5115996885992345,0,Default series,1,1,2e-06
144,286.0,168.0,-145.123,0.6720585829262823,0.46141381661939196,0.47755605663474665,0,Default series,1,1,2e-06
145,231.940353,18.0,-132.0,0.6042052213291825,0.2731402187624737,0.4940274861325889,0,Default series,1,1,2e-06
