346266.611	6708535.08	630.205414
346591.846	6707656.37	711.120706
347007.476	6706276.39	742.772574
347247.381	6705390.08	736.788699
347352.18	6705007.96	735.997304
347782.777	6703349.19	711.65496
348204.643	6701946.14	753.401998
348450.506	6701030.74	752.043809
348682.631	6700154.32	750.467726
349000.726	6698700.85	680.602505
349392.195	6697431.24	746.421341
349710.162	6696298.44	777.142785
349871.032	6695584.26	757.760724
349978.606	6694597.05	605.718329
350410.002	6693058.23	681.621356
350749.645	6691794.04	739.237496
350960.066	6690847.48	740.411076
351070.409	6690111.46	685.040105
351351.961	6688563.71	636.100671
351502.545	6687352.76	525.50346
351885.207	6686059.64	686.604552
352138.806	6684847.15	732.805931
352282.698	6683893.52	724.427892
352346.813	6682993.1	652.376661
352465.731	6681547.3	589.530744
352569.375	6680477.84	580.951141
352657.678	6679097.07	550.73185
352778.094	6678005.93	596.165988
352896.176	6676785.96	644.076501
352917.895	6675695.68	619.068379
352956.936	6674352.34	617.00364
352898.659	6673246.99	548.318607
352991.692	6672146.61	618.734992
353056.963	6670929.17	669.058971
353026.384	6669706.93	645.863343
353047.348	6668486.36	667.820782
352971.424	6667261.37	621.305038
353052.537	6666164.05	689.449722
353008.736	6665204.98	666.21228
353001.1	6663847.45	667.767968
352978.777	6662617.28	653.634591
352989.983	6661246.24	654.824141
353037.131	6660012.85	667.499073
353133.311	6658607.52	693.187275
353289.201	6657627.62	753.060235
353361.056	6656551.44	753.305883
353529.178	6655362.18	784.809363
353633.712	6654010.34	756.004954
353716.019	6653035.1	729.489143
353860.665	6651825.61	707.680873
354026.601	6650321.87	661.319445
354291.084	6649380.71	708.587688
354625.186	6648100.69	756.598928
354874.595	6646942.15	771.86974
354972.164	6645808.63	713.318389
355058.3	6644849.27	665.633542
355243.34	6643379.27	619.508981
355692.366	6642131.28	724.996628
356001.404	6641191.59	789.728247
356385.651	6640000	868.686869
346264.916	6708540.77	630.096482
346590.62	6707661.36	711.29309
347006.168	6706282.75	743.244281
347245.993	6705395.76	736.968028
347352.219	6705008.33	736.141968
347781.396	6703354.71	711.779385
348203.578	6701951.78	753.887812
348449.351	6701035.97	752.289382
348680.123	6700163.24	750.291374
348856.355	6699046.26	621.751454
349391.306	6697435.48	746.63391
349644.654	6696459.79	749.953232
349765.472	6695906.77	728.458031
349981.017	6694594.69	607.786006
350407.863	6693067.76	681.565235
350749.219	6691797.58	739.588777
350959.869	6690854.28	741.808566
351073.904	6690095.27	685.089107
351250.396	6688849.13	585.549295
351508.112	6687358.06	533.16606
351843.717	6685955.91	614.093701
352139.421	6684869.28	737.10042
352283.25	6683894.3	724.517902
352355.956	6682950.41	655.80771
352471.169	6681529.43	593.030048
352573.367	6680486.31	585.880551
352666.668	6679140.3	562.970466
352793.788	6678028.06	612.059072
352859.817	6676896.26	613.726502
352851.161	6675778.14	561.292659
352881.17	6674454.09	553.18297
352909.243	6673250.59	557.395899
352918.57	6672033.04	555.135439
353011.07	6670810.7	631.312093
353037.542	6669702.71	654.421941
352996.971	6668632.52	628.282286
