1113.11063	10.4243206	723.823562
1095.82562	36.4573395	706.503821
1106.66131	77.4774195	717.50954
1105.64839	86.8879711	716.511469
1095.98809	128.410184	706.917295
1114.01438	163.673106	725.047766
1095.30724	201.345762	706.328836
1107.7707	241.802003	718.778618
1102.66259	262.175804	713.65899
1096.50398	293.376556	707.457154
1112.36803	327.520996	723.198981
1095.43826	366.214491	706.179649
1109.93428	406.048332	720.409919
1102.48203	427.072494	712.868714
1102.4712	470.22404	712.546233
1111.50781	491.537777	721.362269
1096.40557	531.088556	706.004428
1113.63139	570.199197	722.697104
1103.23955	591.995388	712.127217
1104.75978	635.122221	713.115056
1111.56071	655.702034	719.60456
1098.18293	695.982379	705.786627
1119.20776	734.193543	726.161604
1099.95201	768.669758	706.554237
1107.63302	800.023479	713.809024
1112.01936	819.984868	717.936951
1100.13977	860.884713	705.637712
1126.36144	897.901826	731.441507
1100.9088	933.558097	705.82624
1111.88112	974.952698	716.661137
1111.80575	984.335512	716.571394
1101.06753	1025.77609	705.829864
1126.1842	1061.30344	731.013145
1100.41552	1098.43497	705.546954
1112.52308	1139.29018	718.002882
1107.96387	1159.30766	713.666044
1100.42623	1190.67362	706.503262
1119.61262	1225.02647	726.031322
1098.62817	1263.32479	705.672716
1112.23838	1303.5659	719.741725
1105.16141	1324.19195	712.98821
1103.71983	1367.30446	712.110956
1114.04418	1389.02677	722.633913
1096.75014	1428.21535	705.923758
1112.15386	1467.72619	721.626809
1102.72169	1489.08007	712.452914
1102.79041	1532.23709	712.890918
1110.12686	1553.18857	720.339133
1095.59625	1593.09286	706.143054
1112.92036	1631.73253	723.587449
1096.53925	1665.91303	707.389889
1102.7941	1697.14604	713.715917
1107.75228	1717.44724	718.701796
1095.30568	1757.9675	706.326394
1114.48358	1795.56053	725.530017
1095.88363	1830.88438	706.876262
1105.6382	1872.38874	716.585126
1106.49737	1881.78273	717.434373
1095.71623	1922.8631	706.52411
1113.5605	1949.34207	724.402364
1100.66838	19.1033382	711.319831
1093.33614	36.3064541	703.996739
1100.79705	66.6633567	711.584397
1095.8243	108.909919	706.717055
